ID,label,tanggal,judul,narasi,nama file gambar
163810,1,07/10/2015,: Pemerintah Tidak Melakukan Apa-apa Untuk Mengatasi Bencana Asap Ini,Pemerintah Tidak Melakukan Apa-apa Untuk Mengatasi Bencana Asap Ini,163810.jpg
270300,1,12/10/2015,"Aplikasi i-Doser, Narkoba Digital","mau share sedikit dr hasil seminar kemarin di HF Dursaw, tentang darurat narkoba.
 Sekarang ada tipe baru digital narcotic yg sgt mudah di akses dr smart phone. Namanya aplikasinya: I-doser.
 Kita sebagai ortu perlu tahu mengenai hal ini,
 Kita doakan spy anak2 kita terhindar dr pengaruh2 buruk.?",270300.png
401372,1,12/10/2015,Jackie Chan Masuk Islam,", Jackie Chan kini sudah menjadi muslim dan bertukar nama kepada Abdullah Chan. Allahuakbar",401372.jpg
294873,0,21/10/2015,Syiah di Indonesia,"Innalillahi wa inna ilaihi rojiun
 
 Kabar duka dari Negeri Tercinta
 
 Hari ini, ABI Ormas Syiah mengadakan Muktamar II dikantor Kementerian Agama RI..?",294873.png
663507,1,22/10/2015,Lab RS Angkatan Laut membuat Daftar Minuman Berbahaya,Sebuah postingan gambar surat dari Lembaga Penanggulangan Sel Karsinogen Indonesia. Dalam surat tersebut terdapat 43 nama minuman yang disinyalir berbahaya.,663507.jpg
32721,0,22/10/2015,Indonesia Gagal Wujudkan Swasembada Pangan,Pemerintah rencana impor beras 1 juta ton = Indonesia gagal swasembada,32721.png
417740,2,23/10/2015,"Pemerintah Tidak Serius Menangani Kebakaran Hutan, Usahanya Sejauh Ini Cuma Pencitraan","Pemerintah tidak serius menangani kebakaran hutan, usahanya sejauh ini cuma pencitraan",417740.jpg
245708,1,23/10/2015,BKMG menyarankan menaruh baskom air yang dicampur garam supaya hujan cepat turun,Ajakan menaruh air dicampur dengan garam di dalam ember untuk membantu proses turunnya hujan.,245708.jpg
614347,0,23/10/2015,Kebakaran Hutan di Kalimantan Tengah,"Kebakaran Hutan di Kalimantan Tengah
 [] Ini Hoak atau Fakta? []",614347.png
827337,1,24/10/2015,Pria Bojonegoro meninggal karena mendengar musik dari HP nya sambil tidur & korslet.,"Seorang pria di Bojonegoro meninggal akibat menggunakan Hp.
 
 Dia mendengar musik pakai Handset, saat Hpnya di Charge dan ketiduran.",827337.png
73664,1,25/10/2015,Foto Logo I Love Israel pada Permen Mentos,Foto mentos edisi I Love Israel berada di sebuah supermarket daerah Jakarta Pusat,73664.png
98242,1,25/10/2015,Kronologis Insiden RSO 1 Palangkaraya,Kronologis Insiden RSO 1 Palangkaraya,98242.png
49087,1,30/10/2015,Rokok Marlboro Berisi Ganja,Produsen rokok Phillip Morris mulai menjual jenis rokok yang menggandung ganja atau marijuana. Produk ini dipasarkan dengan jenis MARLBORO M dan tersedia di outlet khusus yang berlisensi di negara bagian Colorado dan Wshington DC.,49087.jpg
122813,1,31/10/2015,Kenaikan Tarif Tol adalah karena Jokowi,"Dear haters, sebelum jadi bahan ketawaan, baca ini dulu ya
 
 Kenaikan tarif tol per 1 Nov 2015, didasarkan pada mandat Undang-Undang Nomor
 38 Tahun 2004 Tentang Jalan, Pasal 48 Ayat III. Pasal itu menyebutkan kenaikan tarif tol mengalami penyesuaian setiap dua tahun sekali.",122813.jpg
270266,1,01/11/2015,Syiah menyerang Saudi pada musim haji 1979,"Dapet berita dari koran lama edisi pnri, tentang penyerbuan kaum syiah pada musim haji 20 november 1979 di masjidil haram, mereka tepat menyandera imam tepat setelah solat subuh dengan menggunakan senjata AK47 yang dilipat,",270266.jpg
90037,1,17/11/2015,Enzim RNASE dapat Membunuh Bakteri dalam Makanan,Ada yg bisa menjelaskan ttg enzim RN ase yg terdapat di tangan? Dihasilkan oleh apa? Dan apakah efektif membunub bakteri yg terdapat dalam makanan?,90037.jpg
769971,1,20/11/2015,Foto Warga Suriah Korban Bombardir Perancis,Perancis Memborbardir Suriah,769971.jpg
958386,1,20/11/2015,Marinir AS Mendukung Papua Lepas dari NKRI,"Belum apa apa sudah ada foto Marinir AS mendukung Papua lepas dari NKRI.
 dan sayangnya masih banyak warga kita yang BERLAGAK SOK jadi Singa. Tapi dia gak sadar Si Singa rupanya dengan mudah dikalahkan Kancil yang punya Strategi jitu.",958386.jpg
196529,0,20/11/2015,BBC News Menggunakan Foto Irak untuk Menggambarkan Pembantaian Suriah,BBC News uses Iraq photo to illustrate Syrian massacre,196529.jpg
712608,1,24/11/2015,Tokoh ISIS Syaikh Al Arifi Datang ke Masjid Istiqlal,"rencana tablig akbar 17 januari 2016 di masjid istiqlal, dengan mengundang tokoh ISIS, harus ditolak . NKRI jangan dijadikan sarang pengungsi ISIS, yang lari dari suriah dan irak.",712608.jpg
303009,1,25/11/2015,Abu Janda Sebenarnya adalah Cina Kafir,Abu Janda Sebenarnya adalah Cina Kafir,303009.jpg
130974,0,28/11/2015,Jokowi Lebih Memilih Helikopter Buatan Luar Negeri Dibandingkan Buatan PT Dirgantara Indonesia,"INSTING MAKELAR
 
 AKU Awalnya kaget, membaca berita dari berbagai Media nasional soal Pembelian Hellikopter Presiden jokowi.
 Dalam berita banyak disebutkan PT.DI Produksi Hellikopter sendiri jenis EC-725 dan lebih canggih, kenapa Pemerintah membeli Helikppter VVIP AW101 produksi Italia dan Inggris itu ?",130974.png
188319,0,28/11/2015,Jokowi Lebih Memilih Helikopter Buatan Luar Negeri Dibandingkan Buatan PT Dirgantara Indonesia,"INSTING MAKELAR
 
 AKU Awalnya kaget, membaca berita dari berbagai Media nasional soal Pembelian Hellikopter Presiden jokowi.
 Dalam berita banyak disebutkan PT.DI Produksi Hellikopter sendiri jenis EC-725 dan lebih canggih, kenapa Pemerintah membeli Helikppter VVIP AW101 produksi Italia dan Inggris itu ?",188319.png
868252,1,30/11/2015,"Husain Khudri, Pemuda Sunni Yang Tersenyum Ketika Akan Digantung Syiah Iran","APA yang ada dalam pikiran Anda ketika melihat foto di atasseorang pemuda yang berada di tiang gantungan, ia melambaikan tangan dan tersenyum?
 
 Foto ini menceritakan kondisi seorang pemuda Sunni bernama Husain Khudri yang akan menghadapi eksekusi mati di Iran. Ia digantung oleh para Syiah di negeri itu.",868252.png
524179,1,02/12/2015,Prof. Arysio Santos Nyatakan Lokasi Atlantis Terletak di Indonesia,Buku Atlantis : The Lost Continent Finally Found karangan Prof. Arysio Santos menyatakan bahwa Atlantis itu dulunya ada di Indonesia.,524179.jpg
507794,1,04/12/2015,Freeport Tidak Membuang Limbah Beracun,Freeport Tidak Membuang Limbah Beracun,507794.jpg
73616,0,04/12/2015,Dokumentasi Dinding Berlapis Emas Freeport,"Lihatlah didalam perut bumi di tanah Papua, dinding berbatu berlapis emas itu bukan cat tembok, bukan pula di studio film tapi inilah kegiatan setiap hari karyawan Freeport selama puluhan tahun.",73616.jpg
139150,0,05/12/2015,Anak Palestina Ditembak Oleh Tentara Israel Dari Jarak Dekat!,"SUBHANALLAH
 Anak Palestina ini berlutut memandangi tentara israel yg menembaknya dari jarak dekat,
 Peluru menembusi jantung nya. Tapi coba Lihat wajah syuhada ini .. Tak ada menggambarkan kesakitan",139150.png
221068,0,05/12/2015,Isu Perbedaan Surat Al Hujurat 8 pada Al Quran Sumbangan Kerajaan Arab,"Tolong perhatikan Al Quran sumbangan Arab Saudi yang dibagikan gratis,, ayat2nya banyak diubah,,, bandingkan dengan Al Quran yang dulu,,,",221068.jpg
491399,1,10/12/2015,Serangga Menyebabkan Tangan dan Bagian Tubuh Lainnya Bolong,"Perhatian untuk seluruh kawan-kawan, bila melihat serangga seperti di dalam foto, jangan sekali-kali menyentuhnya, di Thailand telah ditemukan serangga ini dalam jumlah besar, di Myanmar juga ditemukan, dan sudah mau masuk ke Indonesia, bagi yang menyentuh serangga ini, tangannya jadi seperti di foto dan sakit luar biasa.",491399.jpg
343935,2,11/12/2015,Jokowi memperpanjang kontrak Freeport,Sungguh licik sekali pemerintahan Jokowi dengan menciptakan konflik KPK dan Polri diam-diam memperpanjang kontrak PT Freeport Indonesia agar masyarakat tidak terlalu memperhatikan proses perpanjangan kontrak tersebut.,343935.jpg
32644,1,11/12/2015,Mesin Mobil Sering Mati Di Atas Rel Kereta Api,"[] MENGAPA MESIN MOBIL SERING MATI DI ATAS PERLINTASAN REL KERETA API
 
 Org awam terkadang mengira hal ini di sbbkan krn perlintasan tsb angker/kurang sajen dan kemenyan/ada demit dll",32644.jpg
360323,2,16/12/2015,Ketaatan dan Loyalitas TNI Hanya kepada PRESIDEN,"Kataatan dan Loyalitas TNI Hanya kepada presiden, BOCAH GEMBLUNG, TNI itu HARUS TAAT dan SETIA pada NEGARA KESATUAAN REPUBLIK INDONESIA.",360323.jpg
565120,1,27/12/2015,Standar Ganda Kristen,"KRISTEN SELALU MENGKRITISI YANG BERBAU ARAB, TAPI DENGAN DALIH YANG SAMA KRISTEN TIDAK TAU MALU DENGAN STRATEGI LICIK NYA MEMPRODUKSI KAOS-KAOS KRISTENISASI BERTULISKAN ARAB",565120.jpg
466816,1,31/12/2015,Menggunakan Topi Kerucut di Tahun Baru Berarti Murtad,"TAHUKAH ANDA, Topi Kerucut Tahun Baru, Tanda Muslim Telah Murtad. Topi Tahun Baru yg berbentuk kerucut ternyata adalah topi dengan bentuk yang di sebut SANBENITO, yakni topi yg digunakan Muslim Andalusia untuk menandai bahwa mereka sudah murtad dibawah penindasan Gereja Katholik Roma yang menerapkan INKUISISI SPANYOL.",466816.jpg
769919,1,04/01/2016,Sajadah Digunakan untuk Alas Menari,"Sajadah Digunakan untuk Alas Menari, Tolong siapa yg tahu..hoax or beneran.",769919.jpg
868222,1,08/01/2016,Latihan Bela Negara TNI Kepada FPI,"*Press Release berkaitan berita TNI memberikan latihan ala militer kepada FPI di wilayah Lebak*
 
 Sebagaimana diketahui bahwa di media sosial telah berkembang tentang adanya berita tentang TNI memberikan latihan ala mikiter di wilayah Lebak Banten.",868222.png
958333,1,08/01/2016,Pemberitaan Gerakan Buruh Jakarta Dukung Ahok-Djarot Di Portal Bloombergindonesia.my,"Pada portal daring tersebut diberitakan Gerakan Buruh Jakarta (GBJ) mendeklarasikan diri mendukung pasangan Cagub-Cawagub, Basuki Tjahaja Purnama dan Djarot Saiful Hidayat.",958333.jpg
89973,1,11/01/2016,ILC TV One Di Bredel oleh Aparat,ADA APA SEBENARNYA DENGAN NEGERI INI? SUNGGUH IRONIS,89973.jpg
999287,1,17/01/2016,: KPK Dilarang Membawa Brimob Bersenjata Masuk Gedung DPR,KPK Dilarang Membawa Brimob Bersenjata Masuk Gedung DPR,999287.jpg
606066,1,19/01/2016,: Kemoterapi Pada Penderita Kangker Memperpendek Umur 4 Kali Lipat,Kemoterapi Pada Penderita Kangker Memperpendek Umur 4 Kali Lipat,606066.jpg
106353,1,21/01/2016,"Tawan, Tukang Las Berlengan Robot",saya yakin ini hoax.. ngga masuk akal aja hehe,106353.jpg
253810,1,21/01/2016,Rayhaneh Jabbari Dihukum Gantung oleh Pemerintah Iran,Raihanah Jabbari muslimah sunni dihukum mati oleh pengadilan syiah Iran karena membunuh laki2 yang hendak merusak kehormatannya  di pengadilan Hakim bertanya padanya :  Mengapa engkau membunuh laki2 itu ?  ,253810.jpg
597876,1,21/01/2016,Komedian Kelik Pelipur Lara Meninggal Dunia,Komedian Kelik Pelipur Lara Dikabarkan Meninggal Dunia,597876.jpg
409457,0,22/01/2016,Surat Undangan Pemancangan Tiang Pertama Proyek Kereta Cepat Jakarta - Bandung Berbahasa Mandarin,"Lapor Ndan.!!! Koq, Undangan Proyek Ground-Breaking KA Cepat menggunakan Bahasa Cina???
 
 Apa Jakarta adalah (BUKAN) salah satu propinsi Cina..?!!! *Gagal Waras",409457.jpg
827247,0,23/01/2016,Lawan Pelaku Teror Thamrin AKBP Untung Gunakan Pistol Buatan Tahun 1911,Lawan Pelaku Teror Thamrin AKBP Untung Gunakan Pistol Buatan Tahun 1911,827247.png
106350,1,26/01/2016,"Gedung Putih Dibanjiri Massa Pro Ahok, dan menuntut FPI dibubarkan","BERITA GEMPAR HARI INI!!! PENOLAKAN FPI SAMPAI KE AMERIKA
 
 Gedung Putih Dibanjiri dengan Massa Pro Ahok, dan menuntut FPI dibubarkan segera.",106350.jpg
98157,0,29/01/2016,Pentingnya Literasi Media,Pentingnya Literasi Media,98157.jpg
302959,0,29/01/2016,Kereta Cepat yang Digarap China di Iran Lebih Murah dari Kereta Cepat Jakarta-Bandung,Biaya Proyek Kereta Api Cepat China Teheran-Isfahan Lebih Murah dari Jakarta-Bandung.,302959.jpg
98156,1,04/02/2016,KOD Babi pada makanan?,"jumat pagi anak-anak jajan ice cream. cek label halal MUI ada, tapi begitu cek ingredestnya astagfirullah menghandung lemak babi. berhati-hatilah kaum muslimin semuanya",98156.jpg
458601,1,04/02/2016,Mie Instan tidak bernutrisi Dan bahayanya MSG?,"Mengambil Kendali, Kesehatan di tangan anda.",458601.jpg
753512,1,08/02/2016,FOTO JALANAN DI PAPUA,Ini merupakan penampakan salah satu jalan yang ada di Papua.,753512.jpg
81766,1,09/02/2016,"Pembangunan Jembatan Kolelet di Lebak, Banten","Apakah ini hoax, mohon informasinya?",81766.jpg
335718,1,09/02/2016,Jepang ancam menarik investasi untuk tahun 2016?,Dalam beberapa pekan ini semua stasiun TV Jepang membahas kekecewaannya terhadap pemerintahan Jokowi & JK.,335718.jpg
466786,1,12/02/2016,Aparat Kepolisian Sektor Mimika Baru Menganiaya Warga,"Kami mungkin binatang di matamu. Entah bagaimana kami, selama nyawa masih berhembus, kami akan terus melawan. Demi satu hal pasti: kelak kami dihargai sebagai manusia yang setara di bumi ini.",466786.jpg
171873,1,13/02/2016,Pegawai Honorer K2 Meninggal Dunia Saat Demo di Istana,Innalillahi..Dua Honorer K2 Meninggal di Depan Istana,171873.jpg
515936,1,16/02/2016,Bir Berbahasa Arab di Jakarta,"Sebelum situs-situs penyebar konten sampah ngepost yang beginian, nih ada bahan buat kalian
 
 Ahok mana Ahok?? Jakarta jual Beer dengan tulisan Arab??",515936.png
73563,0,17/02/2016,"Jokowi Bantu Laos Bangun Infrastruktur, Ketika Jembatan-Jembatan di Indonesia Masih Meprihatinkan","Mohon pencerahan yg berita Sindo.
 
 Trus yg gambar Jembatan, lokasi dmn???apa sampai saat ini masih seperti itu??? tanpa penanganan dr pemerintah setempat.",73563.png
335381,1,18/02/2016,"David Beckham Pakai Kaos Bertuliskan Free West Papua Saat Berkunjung ke Wamena, Papua",Pemain sepak bola asal Inggris David Beckham ternyata berkunjung ke pedalaman Wamena-Papua secara diam-diam.Pemain ternama Dunia ini ternyata memberikana bantuan kemanusiaan setelah mendegar tragedi kematian anak di Nduga pada tahun silam 2015 lalu. Pada kedatangan sang bintang sepak bola itu akhirnya dikagetkana dengan kaos baju yang dikenakan David Beckham yang bertulisanFree West Papua,335381.png
245591,1,22/02/2016,Tulisan Sarlito Wirawan Sarwono Tentang LGBT,"LGBT: SEBUAH GERAKAN PENULARAN
 
 SARLITO WIRAWAN SARWONO
 Guru Besar Fakultas Psikologi UI
 
 Mungkin ada yang heran bertanya, kenapa saya begitu keras terhadap perilaku lesbianism, gay, bisexual and transsexualism (LGBT). Saya seakan penuh murka dan tak memberikan sedikitpun ruang toleransi bagi pengidapnya.",245591.png
327513,1,22/02/2016,Cerita Inspiratif Thomas Alva Edison,"Seorang Ibu yang Luar Biasa
 
 Suatu hari, Thomas Alva Edison pulang sekolah dan menyerahkan selembar kertas pemberian gurunya untuk ibunya. Sang ibu menangis sambil membaca isi surat itu dengan mengeraskan suaranya: Putra anda seorang jenius. Sekolah ini terlalu kecil untuk menampungnya dan tidak memiliki guru yang cakap untuk mendidiknya. Agar anda mendidiknya sendiri.",327513.jpg
384855,1,23/02/2016,Peresmian Monumen Po An Tui Di TMII,"Rudy Razy, Jonru, Posmetro mengklaim bahwa Mendagri membuat prasasti/monumen Po An Tui (laskar China yang antek Belanda) di TMII.",384855.png
884566,1,26/02/2016,Guntur Soekarno Putra Meninggal,Innalillahi wa inna illaihi rojiun Telah berpulang kehadiratNya GUNTUR SOEKARNO PUTRA (Putra sulung Proklamator Ir. SOEKARNO). Semoga khusnul khotimah dan arwahnya diterima di sisi Alloh SWT. Aamiin.,884566.jpg
48981,1,03/03/2016,Biskuit Crispy Crackers diklaim mengandung lilin karena mudah terbakar,(berupa vidio yang menjelaskan jika biskuit crispy crackers mengandung lilin karena sangat mudah terbakar),48981.jpg
999251,1,03/03/2016,Jembatan Soekarno-Hatta di Kota Malang Melengkung,Jembatan Soekarno-Hatta di Kota Malang Melengkung,999251.jpg
155472,1,08/03/2016,": Ratna Sarumpaet : Kalau Ahok Maju Via Jalur Independen, Saya Rela Menari Bugil di Monas","Ratna Sarumpaet : Kalau Ahok Maju Via Jalur Independen, Saya Rela Menari Bugil di Monas",155472.jpg
663377,0,12/03/2016,: WASPADA!! Es Teh Campur Limbah di Monas,WASPADA!! Es Teh Campur Limbah di Monas,663377.jpg
327504,1,15/03/2016,: BI Telah Edarkan Uang Pecahan Rp 200.000,BI Telah Edarkan Uang Pecahan Rp 200.000,327504.jpg
327501,1,16/03/2016,Penemu 4G LTE dari Indonesia,"Khoirul Anwar, Penemu 4G LTE
 
 Siapa sangka, teknologi telekomunikasi terbaru saat ini 4G LTE, ditemukan oleh anak muda asli Indonesia, Khoirul Anwar.",327501.png
515918,0,17/03/2016,Pengungsi Syria Dilempari Koin oleh Suporter Klub Sepakbola PSV Eindhoven di Spanyol,Saya belum tahu sumbernya darimana. video ini katanya memperlihatkan pengungsi Syria dilempari recehan dan disoraki penduduk lokal Spanyol (memalukan,515918.png
458571,1,18/03/2016,Surat Terbuka dari Andrea Hirata Untuk Ahok Gubernur DKI Jakarta,"Selamat pagi Kawan. Saya berurai air mata ketika saya harus menyampaikannya kepada teman saya sendiri yang sangat baik kepada saya. Saya termasuk mengagumi sepak terjang, keberanian, dan obsesi yang ia miliki untuk membangun negeri ini. Saya juga seperti teman-temanya yang lain bahwa Jakarta memang membutuhkan sosok seperti dia saat ini. Kasar, tegas, dan pemberani. Karena Jakarta telah menjadi kota metropolis para pembajak negara.",458571.png
57163,1,20/03/2016,Fenomena Equinox Bikin Suhu Jadi 40 Derajat Celcius di Indonesia,"Teman2 yb, sekedar menginformasikan saja, karena fenomena Equinox yang akan mempengaruhi Malaysia, Singapura dan Indonesia di 5 hr ke depan. Disarankan utk tinggal di dalam rumah atau diruang kerja terutama dari jam 12:00-15:00 setiap hari.",57163.png
622411,1,23/03/2016,Pengendara Ojol Bersimbah Darah Akibat Dipukuli oleh Para Sopir Taksi,DIA HANYA PAMIT SAMA ISTRINYA JANJI UNTUK BAWA PULANG UANG BELANJA. JANJI SAMA ANAKNYA UNTUK BAYARAN CICILAN DAN BUKU-BUKU.,622411.jpg
32586,1,26/03/2016,51% Saham Taxi Express Sudah Dimiliki oleh Sandiaga Uno,Kepemilikan 51% saham Taxi Express oleh pengusaha dan bakal cagub Sandiaga Uno,32586.jpg
327496,1,29/03/2016,ROMO Thomas Uzhunnalil SDB disalibkan ISIS pada hari jumat agung,"Setelah kesimpangsiuran berita, Katolik Kita mendapatkan informasi romo Salesian (SDB) asal India yang diculik teroris di Yaman diberitakan telah disalibkan oleh ISIS pada tanggal 25 Maret d pada hari Jumat Agung, demikian diberitakan oleh salah satu media Austria.",327496.jpg
368454,1,30/03/2016,Foto Jalan Tomohon-Manado,JALAN TOMOHON-MANADO,368454.jpg
114502,1,01/04/2016,APRIL MOP : Hari Dimana Umat Islam Di Bantai,"Hari ini, bertepatan dengan tanggal 1 di bulan April, dimana tanggal yang dikatakan banyak orang dengan sebutan â??April Mopâ?",114502.jpg
827206,1,04/04/2016,"Running text di Manggarai gunakan aksara China, bukti Indonesia dikuasai mereka",Sebuah foto yang menggambarkan situasi distasiun dan terdapat sebuah papan running text berbahasa China.,827206.jpg
991043,1,07/04/2016,Tanaman Dolar Penyebab Leukimia,". PERHATIAN DAN WASPADA !!!
 Jika ada tanaman ini dirumah, silakan secepatnya musnah dengan membakarnya sebelum tanaman berbunga karena dari bunganya menyebabkan kanker darah (Leukimia).",991043.jpg
933700,0,12/04/2016,"Jakarta Berduka, Jokowi dan Ahok Harus Bertanggungjawab","Jakarta berduka, Jokowi dan Ahok harus bertanggung jawab!",933700.jpg
794433,1,14/04/2016,Bagi-bagi Toyota Sienta Gratis,"Dalam rangka peluncuran varian terbaru Toyota, kami akan memberikan 3 buah Toyota Sienta yang akan diundi pada tanggal 30 April 2016.",794433.jpg
671554,0,16/04/2016,: Pembelian Lahan Sumber Waras Dibayar Secara Tunai,Pembelian Lahan Sumber Waras Dibayar Secara Tunai,671554.jpg
859969,0,23/04/2016,: Dibohongi Mie Instan,Dibohongi Mie Instan,859969.jpg
270144,0,26/04/2016,Walikota Solo Larang Buber dan Halal Bihalal,Sekretaris Daerah (Sekda) Solo yang mengeluarkan surat edaran (SE) larangan buka bersama (bukber) dan halalbihalal yang mengatasnamakan satuan kerja perangkat daerah (SKPD).,270144.png
327487,0,27/04/2016,DPR Curiga 5 Buruh China Yang Ditangkap TNI AU Masuk Wilayah Halim Sebenarnya Intelijen,DPR Curiga 5 Buruh China Yang Ditangkap TNI AU Masuk Wilayah Halim Sebenarnya Intelijen,327487.png
98107,0,01/05/2016,Ahok Minta Warga Luar Batang Wakafkan Tanah untuk Plaza,"Ahok Minta Warga Luar Batang Wakafkan Tanah untuk Plaza, Warga: Kenapa Bukan Apartemen yang Diwakafkan?",98107.jpg
474936,1,04/05/2016,Yusril Menyatakan Bahwa Warga Luar Batang Sebagian Besar Punya Sertifikat Tanah,"Kuasa Hukum warga Luar Batang Yusril Ihza Mahendra meminta Pemprov DKI tak memaksa untuk menggusur kawasan Luar Batang. Sebab, warga Luar Batang memiliki sertifikat atas tanah yang mereka tempati sejak lama.",474936.png
753460,1,05/05/2016,Foto Rakyat Papua Demo Menuntut Kemerdekaan,"Papua semakin keras menuntut referendum untuk memisahkan diri dari Indonesia.
 
 Ini pandangan di Papua, rakyat menuntut.
 
 Belum dengar sikap pemerintah.",753460.jpg
909111,1,05/05/2016,Kata-kata Terakhir Steve Jobs,Kata-kata Terakhir Steve Jobs,909111.jpg
245551,1,06/05/2016,Papa Kilo Kode PKI,gambar mobil dengan stiker Papa Kilo dan disertai tulisan Sandi PKI: Papa Kilo Indonesia Pilot,245551.jpg
65326,1,08/05/2016,Foto Pengungsi Suriah,"Ini bukan adegan dlm film, tapi inilah yg berlaku di Syuriah.",65326.jpg
720681,1,13/05/2016,Foto personil ACT  meninggal,"Mohon doanya, telah meninggal dunia saudara kami yang membawa dana bantuan, obatan, tim dokter, dan barang dari Indonesia ke Suriah krn terkena bom. Semoga alm syahid, allah terima amal ibadahnya, ampuni dosanya dan istri anak yang ditinggalkan diberi ketabahan dan kesabaran. amin ya rab",720681.jpg
900904,1,13/05/2016,Raja Salman danai kampanye PM Israel Netanyahu,"According to the Middle East Observer, Isaac Herzog, member of the Knesset and Chairman of the Israeli Labor party, revealed that Saudi King Salman bin Abdulaziz financed the election campaign of Israeli Prime Minister, Benjamin Netanyahu.",900904.jpg
188198,1,18/05/2016,Foto seorang adik menyuapi kakaknya dalam kondisi menyedihkan,"Tinggal hanya gubug yang bertikar kayu, beratap gerami, namun adek ini tetap setia merawat kakanya yang sedang sakit tanpa orang tuanya. Dengan bantuan tetangga,,,, adakah yang sudi aminkan? semoga mereka diberi sehat dan diberi rezeki berlimpah amiiiinnnn",188198.jpg
245533,1,29/05/2016,Ridwan Kamil dicaci maki oleh berbagai pihak,"Pendapatnya bahwa Jokowi sosok ideal pemimpin masa kini (Dalam ungkapannya tersebut, Ridwan Kamil dituduh mengatakan bahwa kita tidak lagi memerlukan teladan figur Nabi)",245533.jpg
302873,1,08/06/2016,Buka Puasa di Jalanan Kota London Inggris,"Buka puasa dijalanan kota London diadakan warga muslim di Inggris. Ini Foto buka puasa dijalanan kota london, inggris, pemandangan luar biasa ini semoga banyak penduduk barat yang tertarik mempelajari dan memeluk islam.",302873.jpg
696090,1,08/06/2016,Sultan Erdogan memanggul keranda Muhammad Ali,"Sultan Erdogan turut memanggul jenazah Muhammad Ali, petinju legendaris muslim AS. Sosok petinju yang konsisten mendukung Palestina melawan agresor Yahudi.",696090.jpg
286486,1,13/06/2016,Yang Merugikan dari Daging Beku,Saya tahu PERSIS karena tinggal di Australia #dagingbeku diexpor karena disini gada yg mau. Australia masih melegalkan penggunaan hormon pemacu pertumbuhan ternak yg dilarang di eropa karena diduga memicu kanker #JokowiDagingBeku,286486.jpg
