,Dist_Taxi,Dist_Market,Dist_Hospital,Carpet,Builtup,Parking,City_Category,Rainfall,House_Price
161,10100.0,11816.0,14994.0,1548.0,1855.0,Open,CAT A,670,8533000
162,10967.0,12140.0,14999.0,1649.0,1963.0,Not Provided,CAT C,490,2741000
163,11678.0,14658.0,14417.0,1393.0,1663.0,Open,CAT C,670,3732000
164,3644.0,10324.0,10264.0,1450.0,1734.0,Not Provided,CAT A,380,7112000
165,5595.0,13050.0,12267.0,1613.0,1921.0,Covered,CAT A,1200,7280000
166,10043.0,12339.0,14476.0,1408.0,1696.0,No Parking,CAT C,350,3441000
167,3050.0,11554.0,8995.0,775.0,932.0,Open,CAT C,1090,4253000
168,9487.0,10781.0,15148.0,1275.0,1534.0,Covered,CAT A,1230,5430000
169,9674.0,12730.0,15159.0,1740.0,2078.0,Open,CAT B,680,5078000
170,6373.0,8175.0,9701.0,1372.0,1657.0,Open,CAT B,580,4502000
171,6326.0,11417.0,9620.0,1414.0,1723.0,Covered,CAT A,680,6960000
172,3328.0,6678.0,9320.0,2044.0,2474.0,Open,CAT B,340,8034000
173,8509.0,10793.0,11170.0,1823.0,2176.0,Not Provided,CAT B,700,3781000
174,9963.0,10658.0,14014.0,955.0,1133.0,Not Provided,CAT C,580,4614000
175,5754.0,6031.0,9745.0,1465.0,1763.0,Not Provided,CAT A,680,9957000
176,10039.0,8836.0,15253.0,1331.0,1606.0,Open,CAT C,630,3865000
177,8738.0,12259.0,15087.0,1232.0,1487.0,Not Provided,CAT C,860,4980000
178,5736.0,11309.0,14316.0,1481.0,1765.0,No Parking,CAT A,490,6991000
179,4692.0,5460.0,7531.0,1343.0,1599.0,Open,CAT B,870,4491000
180,8391.0,12763.0,15332.0,1539.0,1837.0,Covered,CAT A,990,7847000
181,9770.0,11006.0,16758.0,1007.0,1207.0,No Parking,CAT B,670,4746000
182,7371.0,9749.0,13443.0,1762.0,2145.0,Open,CAT C,490,3346000
183,10662.0,10945.0,13294.0,1527.0,1832.0,Not Provided,CAT C,580,4409000
184,5654.0,10609.0,9842.0,1356.0,1619.0,Covered,CAT C,700,4262000
185,13166.0,11814.0,18307.0,1536.0,1848.0,No Parking,CAT B,670,6945000
186,9255.0,11812.0,14629.0,1605.0,1902.0,Not Provided,CAT B,390,7312000
187,4917.0,7195.0,9468.0,1704.0,2032.0,Covered,CAT C,590,4830000
188,7557.0,9831.0,13403.0,1626.0,1941.0,Not Provided,CAT A,1350,5809000
189,6424.0,13011.0,11082.0,1612.0,1939.0,Not Provided,CAT A,840,7425000
190,4933.0,12836.0,12107.0,1174.0,1396.0,Covered,CAT B,1100,4093000
191,7713.0,12150.0,13475.0,1923.0,2339.0,Open,CAT A,950,7093000
192,9247.0,8857.0,14642.0,1702.0,2053.0,Open,CAT A,950,6467000
193,15522.0,13528.0,20076.0,1398.0,1692.0,No Parking,CAT A,650,7742000
194,8691.0,10901.0,12693.0,1437.0,1717.0,Open,CAT B,230,3233000
195,10813.0,12852.0,16833.0,1524.0,1796.0,Open,CAT C,1060,4108000
197,10296.0,11300.0,10885.0,1660.0,1985.0,Covered,CAT C,1180,4286000
198,9834.0,14431.0,16375.0,1302.0,1569.0,Open,CAT C,710,6845000
199,8704.0,13572.0,12349.0,1666.0,2000.0,Open,CAT C,480,3973000
200,7863.0,11266.0,12375.0,1391.0,1649.0,Open,CAT A,810,8375000
201,10083.0,13322.0,15167.0,1778.0,2148.0,Open,CAT A,1140,6994000
202,11203.0,12227.0,16293.0,1462.0,1770.0,Open,CAT A,1070,6771000
203,12499.0,11966.0,17546.0,1751.0,2115.0,No Parking,CAT B,790,6736000
204,10890.0,13235.0,13935.0,1652.0,1982.0,Covered,CAT C,690,5246000
205,10502.0,12011.0,16938.0,1841.0,2215.0,Covered,CAT A,610,8876000
207,13120.0,15147.0,20263.0,1496.0,1791.0,Not Provided,CAT A,1240,6703000
208,1868.0,9951.0,9760.0,1504.0,1827.0,Open,CAT A,840,7823000
209,8643.0,12365.0,13695.0,1524.0,1808.0,Not Provided,CAT B,460,6227000
210,8121.0,9372.0,10995.0,1148.0,1371.0,Open,CAT A,940,4976000
211,11100.0,10338.0,14201.0,1468.0,1744.0,No Parking,CAT A,590,7366000
212,6126.0,8116.0,14091.0,1310.0,1558.0,Not Provided,CAT A,890,7232000
213,10187.0,12921.0,13539.0,1321.0,1579.0,Covered,CAT B,770,6889000
214,4053.0,7724.0,8975.0,992.0,1192.0,Not Provided,CAT C,900,3418000
215,9932.0,8958.0,14087.0,1540.0,1857.0,Open,CAT C,1020,5826000
216,8385.0,12977.0,14868.0,1807.0,2149.0,Not Provided,CAT B,910,3812000
217,9236.0,12932.0,14681.0,1526.0,1853.0,Open,CAT C,660,4907000
218,11195.0,16650.0,18762.0,1406.0,1677.0,Open,CAT A,480,6166000
219,11749.0,11673.0,16036.0,1703.0,2055.0,No Parking,CAT C,1080,3783000
220,5159.0,12872.0,9786.0,1575.0,1872.0,Covered,CAT C,690,5227000
221,11291.0,8711.0,14479.0,1309.0,1572.0,Open,CAT C,510,5228000
222,5312.0,12616.0,12095.0,1488.0,1807.0,Open,CAT A,1030,7081000
223,12001.0,16298.0,15585.0,1658.0,1988.0,Not Provided,CAT B,370,7153000
224,9024.0,9404.0,13234.0,1863.0,2245.0,Open,CAT A,640,7726000
225,6209.0,10808.0,11285.0,1458.0,1725.0,Not Provided,CAT A,750,7555000
226,5770.0,12932.0,13163.0,1604.0,1909.0,Open,CAT C,370,3373000
227,6697.0,8730.0,11209.0,1575.0,1899.0,Open,CAT B,840,6627000
228,5899.0,7614.0,9374.0,1525.0,1829.0,Covered,CAT A,840,5582000
229,9939.0,14835.0,15351.0,1451.0,1737.0,Open,CAT A,890,6843000
230,12336.0,14878.0,17719.0,1390.0,1687.0,Open,CAT A,620,7399000
231,10238.0,9621.0,12102.0,1442.0,1742.0,Open,CAT A,310,6280000
232,10664.0,7432.0,14294.0,1620.0,1922.0,Covered,CAT B,550,3374000
233,13071.0,15127.0,17387.0,1251.0,1527.0,Open,CAT C,380,6383000
234,7826.0,13333.0,11983.0,1318.0,1606.0,Covered,CAT C,1200,2441000
235,10539.0,14728.0,14223.0,1647.0,1962.0,No Parking,CAT A,800,7002000
236,11355.0,11024.0,16005.0,1829.0,2175.0,No Parking,CAT A,870,9224000
237,8387.0,11281.0,14879.0,1852.0,2227.0,Covered,CAT C,1220,6823000
238,12631.0,12290.0,14599.0,1699.0,2053.0,Open,CAT A,1080,8187000
239,5366.0,11566.0,12466.0,1325.0,1595.0,Open,CAT A,540,7386000
240,6571.0,10429.0,11465.0,1350.0,1634.0,Open,CAT B,880,7712000
241,5485.0,8488.0,12234.0,1347.0,1628.0,Covered,CAT A,120,7235000
242,5181.0,9038.0,10100.0,1397.0,1661.0,Open,CAT B,1410,4916000
243,8085.0,11993.0,13463.0,1245.0,1499.0,Open,CAT B,570,4565000
244,10612.0,8229.0,15696.0,1366.0,1649.0,Not Provided,CAT B,940,5278000
245,10625.0,13922.0,16123.0,1378.0,1658.0,Not Provided,CAT A,760,9096000
246,2999.0,11347.0,8760.0,1767.0,2110.0,Not Provided,CAT A,1200,6495000
247,10631.0,8780.0,15335.0,1184.0,1434.0,Not Provided,CAT C,670,4723000
248,8323.0,10395.0,11206.0,1257.0,1505.0,No Parking,CAT A,950,8325000
250,5758.0,10148.0,13301.0,1863.0,2247.0,Open,CAT C,480,5195000
251,9707.0,8985.0,13875.0,1881.0,2244.0,Open,CAT B,920,6603000
252,13392.0,13930.0,18104.0,1329.0,1609.0,Not Provided,CAT B,1150,6859000
253,4906.0,10462.0,12246.0,1539.0,1848.0,Open,CAT B,750,4714000
254,10006.0,10003.0,14751.0,1557.0,1861.0,No Parking,CAT A,370,6994000
255,6583.0,6438.0,10118.0,2007.0,2397.0,Open,CAT C,610,6589000
256,10100.0,11800.0,14304.0,1185.0,1418.0,Not Provided,CAT B,1150,8931000
257,9573.0,13264.0,16608.0,1657.0,2003.0,Not Provided,CAT B,1070,5854000
258,8231.0,10056.0,14031.0,1294.0,1539.0,Not Provided,CAT A,790,7813000
259,10213.0,13975.0,15747.0,1296.0,1559.0,No Parking,CAT A,1070,9230000
260,10437.0,13268.0,14922.0,1733.0,2097.0,Open,CAT B,730,5617000
261,6382.0,6892.0,13197.0,1641.0,1976.0,Open,CAT B,620,4605000
262,5732.0,12634.0,12938.0,1373.0,1648.0,Not Provided,CAT B,530,4339000
263,5402.0,6653.0,10474.0,1550.0,1845.0,Covered,CAT A,700,6175000
264,7911.0,13003.0,12926.0,1583.0,1907.0,Open,CAT C,680,2183000
265,8784.0,12817.0,14448.0,1428.0,1719.0,Not Provided,CAT C,1060,3980000
266,5566.0,9162.0,10429.0,1604.0,1925.0,Covered,CAT B,670,5437000
267,8228.0,13686.0,13223.0,1439.0,1735.0,Not Provided,CAT A,400,6247000
268,10414.0,11359.0,12764.0,1648.0,2003.0,Open,CAT A,910,8293000
269,12974.0,13529.0,18046.0,1025.0,1231.0,No Parking,CAT B,760,6372000
270,8712.0,10134.0,13615.0,2001.0,2394.0,Not Provided,CAT B,540,7918000
271,4616.0,9983.0,10644.0,1145.0,1370.0,Covered,CAT B,350,3821000
272,8370.0,13716.0,13115.0,1174.0,1426.0,Open,CAT C,980,2595000
273,11875.0,9962.0,14066.0,913.0,1106.0,Open,CAT A,860,5661000
274,8895.0,10317.0,12353.0,1199.0,1433.0,Not Provided,CAT A,1020,7371000
275,7653.0,11521.0,14161.0,1875.0,2254.0,Open,CAT A,1120,7040000
276,13339.0,15821.0,18449.0,1153.0,1397.0,No Parking,CAT C,1020,5044000
277,4355.0,6857.0,6316.0,1240.0,1492.0,Not Provided,CAT B,940,6684000
278,5577.0,8399.0,11778.0,1381.0,1660.0,Open,CAT B,970,5017000
280,11184.0,12656.0,14583.0,1701.0,2030.0,Covered,CAT C,830,6014000
281,12728.0,12131.0,16681.0,1206.0,1456.0,Open,CAT C,920,3713000
282,6297.0,11128.0,11198.0,1476.0,1777.0,No Parking,CAT C,660,4289000
283,7531.0,12145.0,13548.0,1189.0,1439.0,Not Provided,CAT B,780,2622000
284,9061.0,8496.0,14431.0,1837.0,2220.0,No Parking,CAT A,340,5084000
285,4637.0,8636.0,11431.0,1319.0,1571.0,No Parking,CAT C,1190,2563000
286,7573.0,9645.0,14012.0,1617.0,1901.0,Open,CAT B,490,6077000
287,6923.0,7928.0,12000.0,1631.0,1967.0,Open,CAT B,1090,6960000
288,7635.0,10625.0,12975.0,1517.0,1805.0,Covered,CAT C,1040,4174000
289,8117.0,13349.0,16226.0,1764.0,2109.0,Not Provided,CAT C,1210,5013000
290,8726.0,12035.0,10170.0,1572.0,1869.0,Open,CAT C,1030,2175000
291,10437.0,13667.0,12454.0,1855.0,2197.0,Open,CAT B,1170,8049000
292,7974.0,13932.0,12772.0,1327.0,1571.0,Not Provided,CAT B,730,3402000
293,8705.0,12027.0,14258.0,1270.0,1515.0,Open,CAT B,720,6024000
294,6573.0,11137.0,9470.0,1734.0,2073.0,Open,CAT B,500,3946000
295,11017.0,8028.0,14703.0,1533.0,1848.0,Covered,CAT B,1070,5644000
296,10517.0,9839.0,13059.0,1390.0,1646.0,Open,CAT B,800,4684000
297,5896.0,14047.0,13272.0,1856.0,2216.0,Open,CAT B,1020,6482000
298,8051.0,10492.0,11114.0,1000.0,1215.0,Open,CAT A,1070,5252000
299,7097.0,13252.0,13997.0,1313.0,1586.0,Covered,CAT C,420,4594000
300,4219.0,5927.0,7860.0,1494.0,1799.0,Open,CAT C,510,3897000
301,9908.0,12872.0,13554.0,1386.0,1674.0,No Parking,CAT B,1210,5861000
302,8913.0,7116.0,12276.0,1979.0,2364.0,Not Provided,CAT C,660,3081000
303,7964.0,17040.0,14582.0,1057.0,1264.0,Open,CAT B,360,4773000
304,4019.0,7091.0,8720.0,902.0,1093.0,Covered,CAT A,1210,6464000
305,9242.0,13331.0,13748.0,1644.0,2003.0,No Parking,CAT C,-110,3275000
306,8801.0,11775.0,12950.0,1347.0,1622.0,Open,CAT B,560,4486000
307,10720.0,13072.0,14860.0,1314.0,1576.0,Covered,CAT B,360,5566000
308,8556.0,11931.0,13511.0,1513.0,1803.0,Not Provided,CAT C,970,5753000
309,8933.0,14064.0,14874.0,1305.0,1548.0,Not Provided,CAT A,480,7520000
310,8100.0,9239.0,10996.0,1180.0,1436.0,No Parking,CAT B,690,3733000
311,9354.0,8578.0,10360.0,1142.0,1352.0,Not Provided,CAT C,710,3528000
312,10692.0,13202.0,16298.0,1471.0,1768.0,Not Provided,CAT A,780,7061000
313,12386.0,12834.0,13614.0,1075.0,1288.0,Not Provided,CAT C,630,4972000
314,8541.0,13767.0,13081.0,1578.0,1885.0,Covered,CAT A,220,6885000
315,8450.0,10286.0,13820.0,1585.0,1916.0,Covered,CAT C,1110,5074000
316,9803.0,14989.0,14259.0,1391.0,1648.0,Open,CAT A,720,7707000
317,11142.0,10953.0,14331.0,1577.0,1892.0,Open,CAT A,560,7473000
318,9851.0,13410.0,16916.0,1092.0,1314.0,Open,CAT A,600,7653000
319,6089.0,13147.0,10479.0,1375.0,1681.0,Open,CAT A,440,6890000
320,11240.0,9781.0,15232.0,1523.0,1813.0,Covered,CAT A,520,4496000
321,10349.0,10540.0,14593.0,1373.0,1654.0,Not Provided,CAT B,410,4149000
322,6237.0,11896.0,12512.0,1550.0,1871.0,Covered,CAT A,590,7432000
323,5516.0,9426.0,11457.0,1614.0,1946.0,Covered,CAT A,740,7380000
325,8362.0,9041.0,13899.0,1566.0,1889.0,Covered,CAT B,610,5640000
326,4603.0,9103.0,10753.0,2019.0,2396.0,Covered,CAT A,540,7157000
327,4904.0,11562.0,12490.0,1494.0,1806.0,Open,CAT B,1450,4364000
328,9722.0,13414.0,13617.0,1659.0,2008.0,No Parking,CAT C,620,3512000
329,8884.0,6700.0,11772.0,1766.0,2131.0,Covered,CAT B,340,5867000
330,10457.0,16441.0,17743.0,1293.0,1554.0,Covered,CAT A,970,7580000
331,3114.0,7163.0,8477.0,1375.0,1659.0,Covered,CAT A,1080,7664000
332,9132.0,11092.0,13571.0,1236.0,1484.0,No Parking,CAT B,560,3189000
333,11416.0,11521.0,18432.0,1332.0,1586.0,No Parking,CAT C,630,6167000
334,7492.0,12257.0,11623.0,1513.0,1825.0,Covered,CAT A,980,7595000
335,9464.0,10762.0,13998.0,1208.0,1459.0,Open,CAT C,930,4149000
336,7960.0,15487.0,11348.0,1190.0,1429.0,Open,CAT B,470,6617000
337,4850.0,12848.0,11995.0,1448.0,1734.0,Open,CAT C,680,3798000
338,9308.0,18281.0,18532.0,1771.0,2147.0,Open,CAT C,430,6271000
339,5889.0,12646.0,10210.0,1365.0,1645.0,Not Provided,CAT A,830,6047000
