Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
6/27/2018,@humaspolsulteng,HUMAS POLDA SULTENG,“Pantauan Pilkada 2018” #PantauanPilkada2018 #PantauanPilkada #PilkadaSerentak2018,1.01208E+18,,pic.twitter.com/mc4suitwIv,,0,0,Twitter for Android,1076,178,1,,5/30/2011,palu sulawesi tengah,akun resmi Bidhumas Polda Sulteng. Instagram: bidhumaspoldasulteng - Facebook: Bidhumas Polda Sulteng - Youtube: bid humas polda sulteng,http://bidhumaspoldasulteng.polri.go.id,,View
6/27/2018,@RadioElshinta,Radio Elshinta,Menkopolhukam: Pelaksanaan pilkada berjalan lancar.  #ElshintaPilkada2018,1.01207E+18,https://bit.ly/2MpgDSn,https://pbs.twimg.com/media/Dgubu5TX0AACK_L.jpg,,0,2,TweetDeck,3657300,19,3785,✅,3/9/2010,"ÜT: -6.187385,106.733011",Official twitter of Radio Elshinta | Phone: 021-5869000 | SMS: 081-180-6543 | Email: redaksi@elshinta.com | Wanna buzz? Email us: buzz@elshinta.com,http://www.elshinta.com,,View
6/27/2018,@RadioElshinta,Radio Elshinta,#KomisiAndaElshinta: Menyoroti hasil Pilkada 2018 nanti. Akankah hasilnya sesuai Harapan? Komentar Anda? Streaming >&gt;&gt;  #ElshintaPilkada2018,1.01207E+18,http://elshinta.com/live/radio,https://pbs.twimg.com/media/Dgua7eaWsAARWEC.jpg,,0,1,TweetDeck,3657300,19,3785,✅,3/9/2010,"ÜT: -6.187385,106.733011",Official twitter of Radio Elshinta | Phone: 021-5869000 | SMS: 081-180-6543 | Email: redaksi@elshinta.com | Wanna buzz? Email us: buzz@elshinta.com,http://www.elshinta.com,,View
6/27/2018,@nurdin_alto,Muhamad nurdin F,Pembacaan Sumpah dan Janji Anggota KPPS Pilkada Serentak 2018:  melalui @YouTube,1.01207E+18,http://youtu.be/xLixNHL_w3A?a,,,0,0,Google,48,185,0,,7/6/2013,cimahi,"penulis online di blog pribadi, pemilik Dinur Music studio",http://www.dinurmusicstudio.com/,,View
6/27/2018,@nurdin_alto,Muhamad nurdin F,Saya menambahkan video ke playlist @YouTube  Pembacaan Sumpah dan Janji Anggota KPPS Pilkada Serentak 2018,1.01207E+18,http://youtu.be/xLixNHL_w3A?a,,,0,0,Google,48,185,0,,7/6/2013,cimahi,"penulis online di blog pribadi, pemilik Dinur Music studio",http://www.dinurmusicstudio.com/,,View
6/27/2018,@Feedberitapolit,Feed Berita Politik,Mantan Ketua Pansus RUU Pemilu: Sosialisasi Politik Uang Pilkada 2018 Minim,1.01207E+18,https://bit.ly/2IhAOEl,,,0,0,twittbot.net,1086,174,20,,5/5/2013,Indonesia,Berita Politik Terbaru Untuk Anda,http://www.bola-turk.blogspot.com,,View
6/27/2018,@radar_malang,radar_malang,"Ridwan-Uu Menang, Ade Otomatis Jadi Bupati Tasikmalaya – Pilkada Serentak 2018",1.01207E+18,https://goo.gl/VCzZzu,https://pbs.twimg.com/media/Dguady-X0AEY16U.jpg,,0,0,dlvr.it,103738,516,127,,3/18/2012,"Jalan Kawi 11B, Kota Malang",Akun resmi Jawa Pos Radar Malang - online@radarmalang.id - 0341363700 - Fax 0341348638,http://www.radarmalang.id,,View
6/27/2018,@BachtiarLiem,Webindo.id,Bawaslu Temukan 35 Kasus Dugaan Politik Uang di Pilkada 2018,1.01207E+18,https://www.webindo.id/newsprovinsi/2018/06/27/bawaslu-temukan-35-kasus-dugaan-politik-uang-di-pilkada-2018/,https://pbs.twimg.com/media/DguZuw0UEAAqo5X.png,,0,0,WordPress.com,160,227,2,,11/5/2009,Jakarta,http://webindo.id Porta Bisnis Barometer #1 Pasar Indonesia,http://wp.me/1lGlz,,View
6/27/2018,@benar_berita,Berita Benar,Kandidat yang Diusung Koalisi Partai Pendukung Jokowi Dominasi Pilkada,1.01207E+18,https://www.benarnews.org/indonesian/berita/pilkada-2018-06272018161046.html,https://pbs.twimg.com/media/DguY67bX0AAl0Uq.jpg,,0,0,Twitter Web Client,284,1080,13,,2/25/2015,"Washington, DC","BenarNews Indonesia Media online berafiliasi dengan Radio Free Asia, menyajikan berita akurat dan terpercaya",http://www.benarnews.org/indonesian,,View
6/27/2018,@ParaMilenia,MileniaID,Arief-Sachrudin Klaim Menang Lawan Kotak Kosong di Pilkada Kota Tangerang,1.01207E+18,http://bit.ly/2N49M1R,https://pbs.twimg.com/media/DguYXiKXUAArIqp.jpg,,0,0,dlvr.it,8,10,0,,1/26/2017,"Tangerang, Indonesia",,https://www.milenia.id,,View
6/27/2018,@Rumah_PAN,Rumah PAN Surabaya,Tipe Pemilih dalam Pilkada Tiga Provinsi di Pulau Jawa  via @Tribunnews,1.01207E+18,http://dlvr.it/QYkVDx,,,0,0,Twitter for Android,1207,394,0,,4/9/2013,"Kota Surabaya, Jawa Timur","Berjuang untuk negeri tercinta, konsisten dalam kebenaran, memastikan kesejahteraan rakyat, itu Kader @PAN_Surabaya #PANOptim12 #PANBekerja #PANMenang #Retweet",http://rumahpansurabaya.com,,View
6/27/2018,@Rumah_PAN,Rumah PAN Surabaya,Tiga Faktor Penentu Pemenang Pilkada Serentak 2018,1.01207E+18,http://republika.co.id/share/pazyek428,,,0,0,Twitter for Android,1207,394,0,,4/9/2013,"Kota Surabaya, Jawa Timur","Berjuang untuk negeri tercinta, konsisten dalam kebenaran, memastikan kesejahteraan rakyat, itu Kader @PAN_Surabaya #PANOptim12 #PANBekerja #PANMenang #Retweet",http://rumahpansurabaya.com,,View
6/27/2018,@Rumah_PAN,Rumah PAN Surabaya,"""Terbukti metode ini memberikan ketepatan yang akurat dalam prediksi kemenanagan. Seperti bukti bahwa Khofifah bakal unggul di Jatim, dan di Ganjar di Jateng.""",1.01207E+18,http://jawapos.com/n/223435,,,0,0,Twitter for Android,1207,394,0,,4/9/2013,"Kota Surabaya, Jawa Timur","Berjuang untuk negeri tercinta, konsisten dalam kebenaran, memastikan kesejahteraan rakyat, itu Kader @PAN_Surabaya #PANOptim12 #PANBekerja #PANMenang #Retweet",http://rumahpansurabaya.com,,View
6/27/2018,@berita360,Berita360,Lima Tips Move On Setelah Pilkada Serentak 2018,1.01207E+18,http://berita360.com/lima-tips-move-on-setelah-pilkada-serentak-2018/,https://pbs.twimg.com/media/DguXDW2XcAIs1vb.jpg,,0,0,WordPress.com,149,59,5,,6/7/2015,"Jakarta Capital Region, Indonesia",,http://www.berita360.com,,View
6/27/2018,@SahabatFalent,Sahabat Falentino,Lima Tips Move On Setelah Pilkada Serentak 2018,1.01207E+18,http://berita360.com/lima-tips-move-on-setelah-pilkada-serentak-2018/,https://pbs.twimg.com/media/DguXCnGUwAEywtf.jpg,,0,0,WordPress.com,20,1,0,,12/14/2015,,"Semangat berbagi kepada sesama tanpa melihat siapa kita dan siapa mereka, dengan segala kekurangan yang ada.",http://sahabatfalent.weebly.com,,View
6/27/2018,@merdekadotcom,MERDEKA,"Pilkada Serentak 2018, pasangan nomor urut satu berjaya di Jawa",1.01207E+18,http://bit.ly/2tJBqbL,,,1,2,Echobox Social,152003,45,506,✅,1/5/2012,Indonesia,"Let's Be Smart, part of Kapanlagi Network",http://merdeka.com,,View
6/27/2018,@TuriminVanthat,Toerimin Vanthat,Yonif Mekanis Raider 413 Kostrad Ikuti Apel Pengamanan Pilkada 2018,1.01207E+18,http://www.okebung.com/yonif-mekanis-raider-413-kostrad-ikuti-apel-pengamanan-pilkada-2018/,https://pbs.twimg.com/media/DguVuB8XUAAm51R.jpg,,0,0,WordPress.com,203,1132,0,,6/1/2010,Amsterdam,,https://www.mediarealitas.com,,View
6/27/2018,@Jamalja00984320,Jamaljamil,Pilkada serentak 2018 sudah usai Tinggal tunggu hasilnya. Lucu politik ini.... Sampai2 ada penggiringan opini Dan ada ucapan selamat dari yg kalah... Padahal penghitungan masih berjalan Oooo....INDONESIAKU,1.01207E+18,,,,0,0,Twitter for Android,1,17,0,,5/28/2018,"DKI Jakarta, Indonesia",Alhamdulillah,,,View
6/27/2018,@kediri_tv,KEDIRI TV,T P S UNIK BERTEMA BUDAYA PADA PILKADA 2018,1.01207E+18,https://www.youtube.com/attribution_link?a=JXfLktI7FI4&u=%2Fwatch%3Fv%3D4IhIG_ve1TI%26feature%3Dplayer_embedded,,,0,0,Facebook,48,0,0,,9/5/2015,Kediri Jawa Timur,PT.KEDIRI MEDIA TELEVISI,http://www.kediritv.com,,View
6/27/2018,@banpos,BANTENPOS.co,"Hasil Hitung Cepat KPU, Syafrudin-Subadri Menang Telak Pilkada Kota Serang",1.01207E+18,https://bantenpos.co/2018/06/28/hasil-hitung-cepat-kpu-syafrudin-subadri-menang-telak-pilkada-kota-serang/,https://pbs.twimg.com/media/DguVOLJXkAEWFjV.jpg,,0,0,WordPress.com,1116,585,1,,7/23/2014,,Inspirasi dan Semangat Baru Banten.,http://bantenpos.co,,View
6/27/2018,@rifkiharahap,Rifki Harahap,"Hasil Hitung Cepat KPU, Syafrudin-Subadri Menang Telak Pilkada Kota Serang",1.01207E+18,https://bantenpos.co/2018/06/28/hasil-hitung-cepat-kpu-syafrudin-subadri-menang-telak-pilkada-kota-serang/,https://pbs.twimg.com/media/DguVHL2U0AAZhRP.jpg,,0,0,WordPress.com,209,668,0,,4/26/2010,,kuli coding di kota yg katanya lebih kejam dr ibu tiri,,,View
6/27/2018,@firdaus_dadan,Dadan Firdaus,"Hasil Hitung Cepat KPU, Syafrudin-Subadri Menang Telak Pilkada Kota Serang",1.01207E+18,https://bantenpos.co/2018/06/28/hasil-hitung-cepat-kpu-syafrudin-subadri-menang-telak-pilkada-kota-serang/,https://pbs.twimg.com/media/DguUrtOUYAAgzX8.jpg,,0,0,WordPress.com,3154,549,1,,9/1/2013,20D11199,"Jika kita melakukan hal-hal yg memang mampu kita lakukan, kita akan kagum pada diri kita sendiri",,,View
6/27/2018,@hafiderman,hafiderman,"Hasil Hitung Cepat KPU, Syafrudin-Subadri Menang Telak Pilkada Kota Serang",1.01207E+18,https://bantenpos.co/2018/06/28/hasil-hitung-cepat-kpu-syafrudin-subadri-menang-telak-pilkada-kota-serang/,https://pbs.twimg.com/media/DguUkzrU8AAVgxW.jpg,,0,0,WordPress.com,186,279,2,,2/27/2010,SERANG,Comme ci comme ca,,,View
6/27/2018,@EBanpos,Enong Banpos,"Hasil Hitung Cepat KPU, Syafrudin-Subadri Menang Telak Pilkada Kota Serang",1.01207E+18,https://bantenpos.co/2018/06/28/hasil-hitung-cepat-kpu-syafrudin-subadri-menang-telak-pilkada-kota-serang/,https://pbs.twimg.com/media/DguUPhEU0AEgj-0.jpg,,0,0,WordPress.com,84,114,0,,11/30/2015,"Ciledug, Indonesia","be Strong,,,and keep smile",,,View
6/27/2018,@inidaeng,Daeng Djago,"Hasil Hitung Cepat KPU, Syafrudin-Subadri Menang Telak Pilkada Kota Serang",1.01207E+18,https://bantenpos.co/2018/06/28/hasil-hitung-cepat-kpu-syafrudin-subadri-menang-telak-pilkada-kota-serang/,https://pbs.twimg.com/media/DguT_hdXcAA5-zn.jpg,,0,0,WordPress.com,434,275,2,,8/11/2009,Serang Banten Indonesia,Serba Guna Kuat dan Tahan Lama...,http://bantenpos.co/,,View
6/27/2018,@RadioElshinta,Radio Elshinta,#KomisiAndaElshinta: Menyoroti hasil Pilkada 2018 nanti. Akankah hasilnya sesuai Harapan? Komentar Anda? Streaming >&gt;&gt;  #ElshintaPilkada2018,1.01206E+18,https://elshinta.com/live/radio,https://pbs.twimg.com/media/DguTRmTUYAAM5Wc.jpg,,1,1,TweetDeck,3657300,19,3785,✅,3/9/2010,"ÜT: -6.187385,106.733011",Official twitter of Radio Elshinta | Phone: 021-5869000 | SMS: 081-180-6543 | Email: redaksi@elshinta.com | Wanna buzz? Email us: buzz@elshinta.com,http://www.elshinta.com,,View
6/27/2018,@adhy_azhan,Adhy Azhan,"Data Masuk 100 Persen, Asyik Menang di Pilkada Jabar Versi Quick Count 2 Lembaga Ini - Media Online Umat Islam",1.01206E+18,https://seword.org/2018/06/27/data-masuk-100-persen-asyik-menang-di-pilkada-jabar-versi-quick-count-2-lembaga-ini/,,,1,1,Facebook,219,230,0,,5/7/2013,"Kendari, Sulawesi Tenggara",Man Jadda Wa Jada,http://kabaronlinewakatobi.blogspot.com,,View
6/27/2018,@carilowongan,Lowongan Kerja Indo,"Tersangka Korupsi Unggul di Pilkada Tulungagung, Ini Kata Tim Pemenangan dari Pesaingnya  #carilowongan",1.01206E+18,http://www.tribunnews.com/regional/2018/06/28/tersangka-korupsi-unggul-di-pilkada-tulungagung-ini-kata-tim-pemenangan-dari-pesaingnya,,,0,0,Microsoft PowerApps and Flow,77696,82,319,,1/30/2010,Jakarta,"Berita lowongan kerja terbaru Jakarta, Bandung, Surabaya, Medan dan kota lainnya. Download aplikasi utk ponsel & tablet di App Store: http://bit.ly/1MYP67T",http://www.facebook.com/pages/Komunitas-Lowongan-Kerja-Online-Pencari-Kerja/206029136099783,,View
6/27/2018,@carilowongan,Lowongan Kerja Indo,Tim Sukses Peserta Pilkada Jombang 2018 Saling Klaim Menang  #carilowongan,1.01206E+18,http://www.tribunnews.com/regional/2018/06/28/tim-sukses-peserta-pilkada-jombang-2018-saling-klaim-menang,,,0,0,Microsoft PowerApps and Flow,77696,82,319,,1/30/2010,Jakarta,"Berita lowongan kerja terbaru Jakarta, Bandung, Surabaya, Medan dan kota lainnya. Download aplikasi utk ponsel & tablet di App Store: http://bit.ly/1MYP67T",http://www.facebook.com/pages/Komunitas-Lowongan-Kerja-Online-Pencari-Kerja/206029136099783,,View
6/27/2018,@ArrahmahID,Arrahmah.co.id,"MediaIslam Ganjar Menang Pilkada Jateng, Saya Tetap di Barisan Pelestari Kendeng  BeritaIslam",1.01206E+18,http://dlvr.it/QYkY5G,,,0,1,dlvr.it,7844,1576,6,✅,6/23/2014,DKI Jakarta,Arrahmah Indonesia - Portal Keislaman Rahmatan lil Alamin - Menjaga Ukhuwah Menebar Perdamaian,http://www.arrahmah.co.id,,View
6/27/2018,@bankthius,M'Thius Karo2Purba,Pasangan Tahajud Unggul di Pilkada Morowali,1.01206E+18,http://sultengterkini.com/2018/06/27/pasangan-tahajud-unggul-di-pilkada-morowali/,,,0,0,Facebook,267,314,1,,5/3/2011,Buol-Central of Sulawesi,"AKU percaya pada diriku sendiri, karena AKU adalah orang yg paling AKU MENGERTI dan MENGERTI akan AKU dan AKU tahu siapa AKU",https://m.facebook.com/mthius?v=edit&edit_success=1&_rdr,,View
6/27/2018,@TrieReno,Reno Trie Ramadhan,"Liat berita di media elektronik syukur alhamdulillah pilkada serentak 2018 berlangsung adem ayem,eh pas buka temlen masih ada aja pihak yg dianggap sbg tokoh public buat pernytaan;islam nusantara direbut lagi lah,msh blm move on pilkada dki lah,ini lah,itu lah.SUMPAH NORAK!",1.01206E+18,,,,0,0,Twitter for Android,5,83,0,,4/1/2018,"Kota Tangerang, Banten",Yang penting pada sehat semua!,,,View
6/27/2018,@kabarpolisicom,kabarpolisi.com,"Alhamdulillah, Pilkada Serentak 2018 Berlangsung Aman  lewat @Kabarpolisi.com",1.01206E+18,https://kabarpolisi.com/berita-utama/alhamdulillah-pilkada-serentak-2018-berlangsung-aman.html,,,0,0,Twitter Web Client,271,103,1,,10/24/2016,"DKI Jakarta, Indonesia",Mengemban Amanat Hukum,http://www.kabarpolisi.com,,View
6/27/2018,@translatorbali,Bali Promotion Center💅,Pasangan I Wayan Koster Tjokorda Oka Artha Ardana Sukawati. MENANG Mutlak Pilkada Bali 2018 Selamat Gubernur terplih I Wayan Koster Quick Count Wayan Koster Siap Rombak RUU Provinsi Bali - Warta Ekonomi  …,1.01206E+18,"https://www.wartaekonomi.co.id/read185561/belum-dilantik-wayan-koster-siap-rombak-ruu-provinsi-bali.html
https://youtu.be/EtE2oSqDmIc",,,1,1,Twitter Web Client,3382,1362,195,,7/28/2009,"Indonesia, Global","Love Ambassador James Rudyanto @lovefoundation Translating, interpreting Indonesian -English vv , Business Promotion #GlobalNewshub WA 085737137351",http://balipromotioncenter.blogspot.com,,View
6/27/2018,@PolsekAsembagus,Humas Polsek Asembagus,Pantauan Pilkada 2018 #PantauanPilkada2018 #PantauanPilkada #PilkadaSerentak2018,1.01206E+18,,pic.twitter.com/HM5xjce1TH,,0,0,Twitter for Android,205,446,0,,5/22/2017,"Asembagus, Indonesia",,,,View
6/27/2018,@GiloPalembang,Wong Gilo Palembang,"Pilkada Lahat: Ratusan Warga Protes Bubarkan Diri, Anggota Polisi dan TNI Masih Berjaga di Panwaslu",1.01206E+18,http://dlvr.it/QYkWnL,https://pbs.twimg.com/media/DguRDH6UcAAAQwk.jpg,,0,0,dlvr.it,258,139,1,,1/13/2015,Sumatera Selatan,Cuma akun twitter biasa yang suka berkicau seputar Sumatera Selatan dan Nasional.,,,View
6/27/2018,@jelajahkampung,Youtube: jelajahkampung,Jelajah TPS Unik Pilkada Serentak 2018:  melalui @YouTube,1.01206E+18,http://youtu.be/9zdpLOPboA4?a,,,0,0,Google,154,41,0,,5/12/2013,Kampung Nusantara,Ensiklopedia Kampung Nusantara | optimasi - adat istiadat - sejarah - karya kreatif - seni - festival - kuliner - wisata. IG : jelajahkampung,http://www.jelajahkampung.com,,View
6/27/2018,@rizalxyloto,X and Y,SBY Klaim Hasil Quick Count Pilkada Lampaui Target Demokrat,1.01206E+18,http://dlvr.it/QYkWBn,,,0,0,dlvr.it,44,8,10,,4/27/2012,,Pekerja keras dan selalu sayang orang tua ;),,,View
6/27/2018,@umardaugh,ULfatun Umardaugh,Pilkada 2018,1.01206E+18,,,,0,1,Twitter Lite,0,12,0,,6/27/2018,,,,,👤
6/27/2018,@carilowongan,Lowongan Kerja Indo,Tiga Faktor Penentu Pemenang Pilkada Serentak 2018 #https://nasional.republika.co.id/berita/nasional/pilkada/18/06/28/pazyek428-tiga-faktor-penentu-pemenang-pilkada-serentak-2018 carilowongan,1.01206E+18,,,,0,0,Microsoft PowerApps and Flow,77696,82,319,,1/30/2010,Jakarta,"Berita lowongan kerja terbaru Jakarta, Bandung, Surabaya, Medan dan kota lainnya. Download aplikasi utk ponsel & tablet di App Store: http://bit.ly/1MYP67T",http://www.facebook.com/pages/Komunitas-Lowongan-Kerja-Online-Pencari-Kerja/206029136099783,,View
6/27/2018,@mpuanon,MpuAnon,"Bercermin dari hasil quick count Pilkada Serentak 2018, siapa Cawapres yang mampu mendongkrak Jokowi untuk merealisasikan mimpi 2 periode?",1.01206E+18,,,,0,0,Twitter Lite,2517,64,4,,9/10/2017,Germany,Retweet bukan berarti naksir.,https://twitter.com/mpuanon,,View
6/27/2018,@swastika_anggi,黄美珠 Anggi Swastika,Masih suasana #recehanpilkada yang pada pakai Android kenalan dulu sama FOTATO aplikasi berbagi foto yg memudahkan bagi2 foto pas pilkada kemaren :,1.01206E+18,https://www.anggiswastika.com/2018/06/fotato-aplikasi-berbagi-foto-di-android.html?m=1,,,0,0,Twitter for Android,976,986,21,,10/15/2009,Indonesia,LifestyleBlogger/Book Lover/Sanguin Choleric//Do what you LOVE & LOVE what you do #blogpostgie #ceritagie,http://www.anggiswastika.com,,View
6/27/2018,@tribunnews,TRIBUNnews.com,Tipe Pemilih dalam Pilkada Tiga Provinsi di Pulau Jawa  via @Tribunnews,1.01206E+18,http://dlvr.it/QYkVDx,,,1,0,dlvr.it,707239,524,1091,,3/18/2010,Indonesia,Twitter resmi http://Tribunnews.com. Download aplikasi Tribunnews untuk mendapatkan berita terkini http://bit.ly/TribunnewsAppAndroid Email: redaksi@tribunnews.com,http://www.tribunnews.com,,View
6/27/2018,@infodum4y,Info Dunia Maya,"Menikah Pas Pilkada, Idris-Fauziah Siang Malam Nyoblos",1.01206E+18,http://poskotanews.com/2018/06/28/menikah-pas-pilkada-idris-fauziah-siang-malam-nyoblos/,https://pbs.twimg.com/media/DguPMYzVMAAyuvh.jpg,,0,0,Empnang Kosen,223,169,4,,9/6/2016,indonesia,Info terheboh! Teranyar! Terhangat! No gosip!,,,View
6/27/2018,@geloraco,GELORA,Ini Dia Cagub-Cawagub PDIP yang Tumbang di Pilkada 2018,1.01206E+18,http://www.posmetro.info/2018/06/ini-dia-cagub-cawagub-pdip-yang-tumbang.html,,,5,6,Twitter Web Client,37812,2156,38,,8/18/2015,Indonesia,email: redaksi@gelora.co,http://www.gelora.co,,View
6/27/2018,@TuriminVanthat,Toerimin Vanthat,Danrem 031/WB Tinjau Langsung Pelaksanaan Pilkada Serentak 2018 Di Beberapa Daerah,1.01206E+18,http://www.okebung.com/danrem-031-wb-tinjau-langsung-pelaksanaan-pilkada-serentak-2018-di-beberapa-daerah/,,,0,0,WordPress.com,203,1132,0,,6/1/2010,Amsterdam,,https://www.mediarealitas.com,,View
6/27/2018,@DorisPapilaya,Doris Papilaya,Pilkada Jabar dari 2 Lembaga Sebut Pemenangnya Pasangan Asyik,1.01206E+18,https://www.sundapos.com/2018/06/pilkada-jabar-dari-2-lembaga-sebut.html,,,0,0,Twitter Web Client,1777,64,0,,8/12/2013,"Kota Manado, Sulawesi Utara","Girls, kamu bukan ayam goreng, jadi jangan mau paha dan dadamu jadi sarana pemuas si dia",http://sumateranews.online,,View
6/27/2018,@LinggaWasa,Lingga Wasa,"Tingkat Partisipasi di Atas 70%, Pilkada Serentak 2018 di Jabar Aman",1.01206E+18,http://dlvr.it/QYkSZM,https://pbs.twimg.com/media/DguNfvvVMAAwzmY.jpg,,0,0,dlvr.it,6344,213,23,,12/1/2013,Bukit Prucu,,,,View
6/27/2018,@LalinProyek,Dummy Lalu Lintas,#Repost TNI POLRI SIAP MENGAWAL DAN MENGAMANKAN PILKADA SERENTAK JAWA BARAT 2018,1.01206E+18,,,,0,0,Lalin App,12,3,0,,4/25/2017,"Bandung, Jawa Barat",Tweet diambil dari @tmc_restabesbdg,http://proyek2.herokuapp.com,,View
6/27/2018,@carilowongan,Lowongan Kerja Indo,"Gunakan Metode Baru, iPol Pamer Prediksinya di Pilkada Akurat  #carilowongan",1.01206E+18,https://www.jawapos.com/read/2018/06/28/223435/gunakan-metode-baru-ipol-pamer-prediksinya-di-pilkada-akurat,,,0,0,Microsoft PowerApps and Flow,77696,82,319,,1/30/2010,Jakarta,"Berita lowongan kerja terbaru Jakarta, Bandung, Surabaya, Medan dan kota lainnya. Download aplikasi utk ponsel & tablet di App Store: http://bit.ly/1MYP67T",http://www.facebook.com/pages/Komunitas-Lowongan-Kerja-Online-Pencari-Kerja/206029136099783,,View
6/27/2018,@InfoAtjehID,Info Aceh ID,"Hasil Perolehan Sementara Desk Pilkada, Pasangan AZAM Unggul ... - Serambi Indonesia",1.01206E+18,https://goo.gl/TiG3Bt,https://pbs.twimg.com/media/DguMeSnVMAA-oIl.png,,0,0,dlvr.it,514,512,3,,1/8/2013,Banda Aceh,Berbagi info tentang Provinsi Aceh. Silakan DM atau e-mail ke: infoatjeh.id@gmail.com,http://www.acehprov.go.id,,View
