id,terjemah,tjclean
[2.25],Dan sampaikanlah berita gembira kepada mereka yang beriman dan berbuat baik bahwa bagi mereka disediakan surga-surga yang mengalir sungai-sungai di dalamnya. Setiap mereka diberi rezeki buah-buahan dalam surga-surga itu mereka mengatakan: Inilah yang pernah diberikan kepada kami dahulu. Mereka diberi buah-buahan yang serupa dan untuk mereka di dalamnya ada istri-istri yang suci dan mereka kekal di dalamnya.,sampaikanlah berita gembira beriman berbuat disediakan surgasurga mengalir sungaisungai dalamnya rezeki buahbuahan surgasurga buahbuahan dalamnya istriistri suci kekal dalamnya
[2.26],Sesungguhnya Allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu. Adapun orang-orang yang beriman maka mereka yakin bahwa perumpamaan itu benar dari Tuhan mereka tetapi mereka yang kafir mengatakan: Apakah maksud Allah menjadikan ini untuk perumpamaan? Dengan perumpamaan itu banyak orang yang disesatkan Allah dan dengan perumpamaan itu (pula) banyak orang yang diberi-Nya petunjuk. Dan tidak ada yang disesatkan Allah kecuali orang-orang yang fasik,sesungguhnya allah tiada segan perumpamaan nyamuk rendah orangorang beriman perumpamaan tuhan kafir maksud allah menjadikan perumpamaan perumpamaan orang disesatkan allah perumpamaan orang diberinya petunjuk disesatkan allah kecuali orangorang fasik
[2.27],(yaitu) orang-orang yang melanggar perjanjian Allah sesudah perjanjian itu teguh dan memutuskan apa yang diperintahkan Allah (kepada mereka) untuk menghubungkannya dan membuat kerusakan di muka bumi. Mereka itulah orang-orang yang rugi.,orangorang melanggar perjanjian allah perjanjian teguh memutuskan diperintahkan allah menghubungkannya kerusakan muka bumi orangorang rugi
[2.28],Mengapa kamu kafir kepada Allah padahal kamu tadinya mati lalu Allah menghidupkan kamu kemudian kamu dimatikan dan dihidupkan-Nya kembali kemudian kepada-Nya-lah kamu dikembalikan?,kafir allah mati allah menghidupkan dimatikan dihidupkannya kepadanyalah dikembalikan
[2.29],Dia-lah Allah yang menjadikan segala yang ada di bumi untuk kamu dan Dia berkehendak menuju langit lalu dijadikan-Nya tujuh langit. Dan Dia Maha Mengetahui segala sesuatu.,allah menjadikan bumi langit dijadikannya tujuh langit maha
[2.30],Ingatlah ketika Tuhanmu berfirman kepada para malaikat: Sesungguhnya Aku hendak menjadikan seorang khalifah di muka bumi. Mereka berkata: Mengapa Engkau hendak menjadikan (khalifah) di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah padahal kami senantiasa bertasbih dengan memuji Engkau dan menyucikan Engkau? Tuhan berfirman: Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui.,ingatlah tuhanmu berfirman malaikat sesungguhnya menjadikan khalifah muka bumi engkau menjadikan khalifah bumi orang kerusakan menumpahkan darah senantiasa bertasbih memuji engkau menyucikan engkau tuhan berfirman sesungguhnya ketahui
[2.31],Dan Dia mengajarkan kepada Adam nama-nama (benda-benda) seluruhnya kemudian mengemukakannya kepada para Malaikat lalu berfirman: Sebutkanlah kepada-Ku nama benda-benda itu jika kamu memang orang-orang yang benar!,mengajarkan adam namanama bendabenda mengemukakannya malaikat berfirman sebutkanlah kepadaku nama bendabenda orangorang
[2.32],Mereka menjawab: Maha Suci Engkau tidak ada yang kami ketahui selain dari apa yang telah Engkau ajarkan kepada kami sesungguhnya Engkaulah Yang Maha Mengetahui lagi Maha Bijaksana.,maha suci engkau ketahui engkau ajarkan sesungguhnya engkaulah maha maha bijaksana
[2.33],Allah berfirman: Hai Adam beritahukanlah kepada mereka nama-nama benda ini. Maka setelah diberitahukannya kepada mereka nama-nama benda itu Allah berfirman: Bukankah sudah Ku katakan kepadamu bahwa sesungguhnya Aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan?,allah berfirman hai adam beritahukanlah namanama benda diberitahukannya namanama benda allah berfirman ku kepadamu sesungguhnya rahasia langit bumi lahirkan sembunyikan
[2.34],Dan (ingatlah) ketika Kami berfirman kepada para malaikat: Sujudlah kamu kepada Adam maka sujudlah mereka kecuali Iblis ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir.,ingatlah berfirman malaikat sujudlah adam sujudlah kecuali iblis enggan takabur golongan orangorang kafir
[2.35],Dan Kami berfirman: Hai Adam diamilah oleh kamu dan istrimu surga ini dan makanlah makanan-makanannya yang banyak lagi baik di mana saja yang kamu sukai dan janganlah kamu dekati pohon ini yang menyebabkan kamu termasuk orang-orang yang lalim.,berfirman hai adam diamilah istrimu surga makanlah makananmakanannya sukai dekati pohon menyebabkan orangorang lalim
[2.36],Lalu keduanya digelincirkan oleh setan dari surga itu dan dikeluarkan dari keadaan semula dan Kami berfirman: Turunlah kamu! sebagian kamu menjadi musuh bagi yang lain dan bagi kamu ada tempat kediaman di bumi dan kesenangan hidup sampai waktu yang ditentukan.,digelincirkan setan surga dikeluarkan berfirman turunlah musuh kediaman bumi kesenangan hidup ditentukan
[2.37],Kemudian Adam menerima beberapa kalimat dari Tuhannya maka Allah menerima tobatnya. Sesungguhnya Allah Maha Penerima tobat lagi Maha Penyayang.,adam menerima kalimat tuhannya allah menerima tobatnya sesungguhnya allah maha penerima tobat maha penyayang
[2.38],Kami berfirman: Turunlah kamu semua dari surga itu! Kemudian jika datang petunjuk-Ku kepadamu maka barang siapa yang mengikuti petunjuk-Ku niscaya tidak ada kekhawatiran atas mereka dan tidak (pula) mereka bersedih hati.,berfirman turunlah surga petunjukku kepadamu barang mengikuti petunjukku niscaya kekhawatiran bersedih hati
[2.39],Adapun orang-orang yang kafir dan mendustakan ayat-ayat Kami mereka itu penghuni neraka mereka kekal di dalamnya.,orangorang kafir mendustakan ayatayat penghuni neraka kekal dalamnya
[2.40],Hai Bani Israel ingatlah akan nikmat-Ku yang telah Aku anugerahkan kepadamu dan penuhilah janjimu kepada-Ku niscaya Aku penuhi janji-Ku kepadamu dan hanya kepada-Ku-lah kamu harus takut (tunduk).,hai bani israel ingatlah nikmatku anugerahkan kepadamu penuhilah janjimu kepadaku niscaya penuhi janjiku kepadamu kepadakulah takut tunduk
[2.41],Dan berimanlah kamu kepada apa yang telah Aku turunkan (Al Qur'an) yang membenarkan apa yang ada padamu (Taurat) dan janganlah kamu menjadi orang yang pertama kafir kepadanya dan janganlah kamu menukarkan ayat-ayat-Ku dengan harga yang rendah dan hanya kepada Akulah kamu harus bertakwa,berimanlah turunkan al quran membenarkan padamu taurat orang kafir menukarkan ayatayatku harga rendah bertakwa
[2.42],Dan janganlah kamu campur adukkan yang hak dengan yang batil dan janganlah kamu sembunyikan yang hak itu sedang kamu mengetahui.,campur adukkan hak batil sembunyikan hak
[2.43],Dan dirikanlah salat tunaikanlah zakat dan rukuklah beserta orang-orang yang rukuk.,dirikanlah salat tunaikanlah zakat rukuklah beserta orangorang rukuk
[2.44],Mengapa kamu suruh orang lain (mengerjakan) kebajikan sedang kamu melupakan diri (kewajiban) mu sendiri padahal kamu membaca Al Kitab (Taurat)? Maka tidakkah kamu berpikir?,suruh orang kebajikan melupakan kewajiban mu membaca al kitab taurat berpikir
[2.45],Dan mintalah pertolongan (kepada Allah) dengan sabar dan (mengerjakan) salat. Dan sesungguhnya yang demikian itu sungguh berat kecuali bagi orang-orang yang khusyuk,mintalah pertolongan allah sabar salat sesungguhnya sungguh berat kecuali orangorang khusyuk
[2.46],(yaitu) orang-orang yang meyakini bahwa mereka akan menemui Tuhannya dan bahwa mereka akan kembali kepada-Nya.,orangorang menemui tuhannya
[2.47],Hai Bani Israel ingatlah akan nikmat-Ku yang telah Aku anugerahkan kepadamu dan (ingatlah pula) bahwasanya Aku telah melebihkan kamu atas segala umat,hai bani israel ingatlah nikmatku anugerahkan kepadamu ingatlah melebihkan umat
[2.48],Dan jagalah dirimu dari (`azab) hari (kiamat yang pada hari itu) seseorang tidak dapat membela orang lain walau sedikit pun dan (begitu pula) tidak diterima syafa`at dan tebusan daripadanya dan tidaklah mereka akan ditolong.,jagalah dirimu azab kiamat membela orang diterima syafaat tebusan daripadanya ditolong
[2.49],Dan (ingatlah) ketika Kami selamatkan kamu dari (Firaun) dan pengikut-pengikutnya mereka menimpakan kepadamu siksaan yang seberat-beratnya mereka menyembelih anak-anakmu yang laki-laki dan membiarkan hidup anak-anakmu yang perempuan. Dan pada yang demikian itu terdapat cobaan-cobaan yang besar dari Tuhanmu.,ingatlah selamatkan firaun pengikutpengikutnya menimpakan kepadamu siksaan seberatberatnya menyembelih anakanakmu lakilaki membiarkan hidup anakanakmu perempuan cobaancobaan tuhanmu
[2.50],Dan (ingatlah) ketika Kami belah laut untukmu lalu Kami selamatkan kamu dan Kami tenggelamkan (Firaun) dan pengikut-pengikutnya sedang kamu sendiri menyaksikan.,ingatlah belah laut untukmu selamatkan tenggelamkan firaun pengikutpengikutnya menyaksikan
[2.51],Dan (ingatlah) ketika Kami berjanji kepada Musa (memberikan Taurat sesudah) empat puluh malam lalu kamu menjadikan anak lembu (sembahanmu) sepeninggalnya dan kamu adalah orang-orang yang lalim.,ingatlah berjanji musa taurat puluh malam menjadikan anak lembu sembahanmu sepeninggalnya orangorang lalim
[2.52],Kemudian sesudah itu Kami maafkan kesalahanmu agar kamu bersyukur.,maafkan kesalahanmu bersyukur
[2.53],Dan (ingatlah) ketika Kami berikan kepada Musa Al Kitab (Taurat) dan keterangan yang membedakan antara yang benar dan yang salah agar kamu mendapat petunjuk.,ingatlah musa al kitab taurat keterangan membedakan salah petunjuk
[2.54],Dan (ingatlah) ketika Musa berkata kepada kaumnya: Hai kaumku sesungguhnya kamu telah menganiaya dirimu sendiri karena kamu telah menjadikan anak lembu (sembahanmu) maka bertobatlah kepada Tuhan yang menjadikan kamu dan bunuhlah dirimu. Hal itu adalah lebih baik bagimu pada sisi Tuhan yang menjadikan kamu maka Allah akan menerima tobatmu. Sesungguhnya Dialah Yang Maha Penerima tobat lagi Maha Penyayang.,ingatlah musa kaumnya hai kaumku sesungguhnya menganiaya dirimu menjadikan anak lembu sembahanmu bertobatlah tuhan menjadikan bunuhlah dirimu bagimu sisi tuhan menjadikan allah menerima tobatmu sesungguhnya maha penerima tobat maha penyayang
[2.55],Dan (ingatlah) ketika kamu berkata: Hai Musa kami tidak akan beriman kepadamu sebelum kami melihat Allah dengan terang karena itu kamu disambar halilintar sedang kamu menyaksikannya.,ingatlah hai musa beriman kepadamu allah terang disambar halilintar menyaksikannya
[2.56],Setelah itu Kami bangkitkan kamu sesudah kamu mati supaya kamu bersyukur.,bangkitkan mati bersyukur
[2.57],Dan Kami naungi kamu dengan awan dan Kami turunkan kepadamu manna dan salwa. Makanlah dari makanan yang baik-baik yang telah Kami berikan kepadamu. Dan tidaklah mereka menganiaya Kami akan tetapi merekalah yang menganiaya diri mereka sendiri.,naungi awan turunkan kepadamu manna salwa makanlah makanan baikbaik kepadamu menganiaya menganiaya
[2.58],Dan (ingatlah) ketika Kami berfirman: Masuklah kamu ke negeri ini (Baitulmakdis) dan makanlah dari hasil buminya yang banyak lagi enak di mana yang kamu sukai dan masukilah pintu gerbangnya sambil bersujud dan katakanlah: Bebaskanlah kami dari dosa niscaya Kami ampuni kesalahan-kesalahanmu. Dan kelak Kami akan menambah (pemberian Kami) kepada orang-orang yang berbuat baik.,ingatlah berfirman masuklah negeri baitulmakdis makanlah hasil buminya enak sukai masukilah pintu gerbangnya bersujud bebaskanlah dosa niscaya ampuni kesalahankesalahanmu kelak menambah pemberian orangorang berbuat
[2.59],Lalu orang-orang yang lalim mengganti perintah dengan (mengerjakan) yang tidak diperintahkan kepada mereka. Sebab itu Kami timpakan atas orang-orang yang lalim itu siksa dari langit karena mereka berbuat fasik.,orangorang lalim mengganti perintah diperintahkan timpakan orangorang lalim siksa langit berbuat fasik
[2.60],Dan (ingatlah) ketika Musa memohon air untuk kaumnya lalu Kami berfirman: Pukullah batu itu dengan tongkatmu. Lalu memancarlah daripadanya dua belas mata air. Sungguh tiap-tiap suku telah mengetahui tempat minumnya (masing-masing) Makan dan minumlah rezeki (yang diberikan) Allah dan janganlah kamu berkeliaran di muka bumi dengan berbuat kerusakan.,ingatlah musa memohon air kaumnya berfirman pukullah batu tongkatmu memancarlah daripadanya belas mata air sungguh tiaptiap suku minumnya masingmasing makan minumlah rezeki allah berkeliaran muka bumi berbuat kerusakan
[2.61],Dan (ingatlah) ketika kamu berkata: Hai Musa kami tidak bisa sabar (tahan) dengan satu macam makanan saja. Sebab itu mohonkanlah untuk kami kepada Tuhanmu agar Dia mengeluarkan bagi kami dari apa yang ditumbuhkan bumi yaitu: sayur-mayur ketimun bawang putih kacang adas dan bawang merahnya. Musa berkata: Maukah kamu mengambil sesuatu yang rendah sebagai pengganti yang lebih baik? Pergilah kamu ke suatu kota pasti kamu memperoleh apa yang kamu minta. Lalu ditimpakanlah kepada mereka nista dan kehinaan serta mereka mendapat kemurkaan dari Allah. Hal itu (terjadi) karena mereka selalu mengingkari ayat-ayat Allah dan membunuh para nabi yang memang tidak dibenarkan. Demikian itu (terjadi) karena mereka selalu berbuat durhaka dan melampaui batas.,ingatlah hai musa sabar tahan makanan mohonkanlah tuhanmu mengeluarkan ditumbuhkan bumi sayurmayur ketimun bawang putih kacang adas bawang merahnya musa maukah mengambil rendah pengganti pergilah kota memperoleh ditimpakanlah nista kehinaan kemurkaan allah mengingkari ayatayat allah membunuh nabi dibenarkan berbuat durhaka melampaui batas
[2.62],Sesungguhnya orang-orang mukmin orang-orang Yahudi orang-orang Nasrani dan orang-orang Shabiin siapa saja di antara mereka yang benar-benar beriman kepada Allah hari kemudian dan beramal saleh mereka akan menerima pahala dari Tuhan mereka tidak ada kekhawatiran terhadap mereka dan tidak (pula) mereka bersedih hati.,sesungguhnya orangorang mukmin orangorang yahudi orangorang nasrani orangorang shabiin benarbenar beriman allah beramal saleh menerima pahala tuhan kekhawatiran bersedih hati
[2.63],Dan (ingatlah) ketika Kami mengambil janji dari kamu dan Kami angkatkan gunung (Thursina) di atasmu (seraya Kami berfirman): Peganglah teguh-teguh apa yang Kami berikan kepadamu dan ingatlah selalu apa yang ada di dalamnya agar kamu bertakwa.,ingatlah mengambil janji angkatkan gunung thursina atasmu seraya berfirman peganglah teguhteguh kepadamu ingatlah dalamnya bertakwa
[2.64],Kemudian kamu berpaling setelah (adanya perjanjian) itu maka kalau tidak ada karunia Allah dan rahmat-Nya atasmu niscaya kamu tergolong orang-orang yang rugi.,berpaling perjanjian karunia allah rahmatnya atasmu niscaya tergolong orangorang rugi
[2.65],Dan sesungguhnya telah kamu ketahui orang-orang yang melanggar di antaramu pada hari Sabtu lalu Kami berfirman kepada mereka: Jadilah kamu kera yang hina.,sesungguhnya ketahui orangorang melanggar antaramu sabtu berfirman kera hina
[2.66],Maka Kami jadikan yang demikian itu peringatan bagi orang-orang di masa itu dan bagi mereka yang datang kemudian serta menjadi pelajaran bagi orang-orang yang bertakwa,jadikan peringatan orangorang pelajaran orangorang bertakwa
[2.67],Dan (ingatlah) ketika Musa berkata kepada kaumnya: Sesungguhnya Allah menyuruh kamu menyembelih seekor sapi betina. Mereka berkata: Apakah kamu hendak menjadikan kami buah ejekan? Musa menjawab: Aku berlindung kepada Allah agar tidak menjadi salah seorang dari orang-orang yang jahil.,ingatlah musa kaumnya sesungguhnya allah menyuruh menyembelih seekor sapi betina menjadikan buah ejekan musa berlindung allah salah orangorang jahil
[2.68],Mereka menjawab: Mohonkanlah kepada Tuhanmu untuk kami agar Dia menerangkan kepada kami sapi betina apakah itu. Musa menjawab: Sesungguhnya Allah berfirman bahwa sapi betina itu adalah sapi betina yang tidak tua dan tidak muda pertengahan antara itu maka kerjakanlah apa yang diperintahkan kepadamu.,mohonkanlah tuhanmu menerangkan sapi betina musa sesungguhnya allah berfirman sapi betina sapi betina tua muda pertengahan kerjakanlah diperintahkan kepadamu
[2.69],Mereka berkata: Mohonkanlah kepada Tuhanmu untuk kami agar Dia menerangkan kepada kami apa warnanya. Musa menjawab: Sesungguhnya Allah berfirman bahwa sapi betina itu adalah sapi betina yang kuning yang kuning tua warnanya lagi menyenangkan orang-orang yang memandangnya.,mohonkanlah tuhanmu menerangkan warnanya musa sesungguhnya allah berfirman sapi betina sapi betina kuning kuning tua warnanya menyenangkan orangorang memandangnya
[2.70],Mereka berkata: Mohonkanlah kepada Tuhanmu untuk kami agar Dia menerangkan kepada kami bagaimana hakikat sapi betina itu karena sesungguhnya sapi itu (masih) samar bagi kami dan sesungguhnya kami insya Allah akan mendapat petunjuk (untuk memperoleh sapi itu).,mohonkanlah tuhanmu menerangkan hakikat sapi betina sesungguhnya sapi samar sesungguhnya insya allah petunjuk memperoleh sapi
[2.71],Musa berkata: Sesungguhnya Allah berfirman bahwa sapi betina itu adalah sapi betina yang belum pernah dipakai untuk membajak tanah dan tidak pula untuk mengairi tanaman tidak bercacat tidak ada belangnya. Mereka berkata: Sekarang barulah kamu menerangkan hakikat sapi betina yang sebenarnya. Kemudian mereka menyembelihnya dan hampir saja mereka tidak melaksanakan perintah itu.,musa sesungguhnya allah berfirman sapi betina sapi betina dipakai membajak tanah mengairi tanaman bercacat belangnya barulah menerangkan hakikat sapi betina menyembelihnya melaksanakan perintah
[2.72],Dan (ingatlah) ketika kamu membunuh seorang manusia lalu kamu saling tuduh menuduh tentang itu. Dan Allah hendak menyingkapkan apa yang selama ini kamu sembunyikan.,ingatlah membunuh manusia tuduh menuduh allah menyingkapkan sembunyikan
[2.73],Lalu Kami berfirman: Pukullah mayit itu dengan sebahagian anggota sapi betina itu! Demikianlah Allah menghidupkan kembali orang-orang yang telah mati dan memperlihatkan padamu tanda-tanda kekuasaan-Nya agar kamu mengerti,berfirman pukullah mayit sebahagian anggota sapi betina allah menghidupkan orangorang mati padamu tandatanda kekuasaannya mengerti
[2.74],Kemudian setelah itu hatimu menjadi keras seperti batu bahkan lebih keras lagi. Padahal di antara batu-batu itu sungguh ada yang mengalir sungai-sungai daripadanya dan di antaranya sungguh ada yang terbelah lalu keluarlah mata air daripadanya dan di antaranya sungguh ada yang meluncur jatuh karena takut kepada Allah. Dan Allah sekali-kali tidak lengah dari apa yang kamu kerjakan.,hatimu keras batu keras batubatu sungguh mengalir sungaisungai daripadanya sungguh terbelah keluarlah mata air daripadanya sungguh meluncur jatuh takut allah allah sekalikali lengah kerjakan
[2.75],Apakah kamu masih mengharapkan mereka akan percaya kepadamu padahal segolongan dari mereka mendengar firman Allah lalu mereka mengubahnya setelah mereka memahaminya sedang mereka mengetahui?,mengharapkan percaya kepadamu segolongan mendengar firman allah mengubahnya memahaminya
[2.76],Dan apabila mereka berjumpa dengan orang-orang yang beriman mereka berkata: Kami pun telah beriman tetapi apabila mereka berada sesama mereka saja lalu mereka berkata: Apakah kamu menceritakan kepada mereka (orang-orang mukmin) apa yang telah diterangkan Allah kepadamu supaya dengan demikian mereka dapat mengalahkan hujahmu di hadapan Tuhanmu tidakkah kamu mengerti?,berjumpa orangorang beriman beriman menceritakan orangorang mukmin diterangkan allah kepadamu mengalahkan hujahmu hadapan tuhanmu mengerti
[2.77],Tidakkah mereka mengetahui bahwa Allah mengetahui segala yang mereka sembunyikan dan segala yang mereka nyatakan?,allah sembunyikan nyatakan
[2.78],Dan di antara mereka ada yang buta huruf tidak mengetahui Al Kitab (Taurat) kecuali dongengan bohong belaka dan mereka hanya menduga-duga.,buta huruf al kitab taurat kecuali dongengan bohong belaka mendugaduga
[2.79],Maka kecelakaan yang besarlah bagi orang-orang yang menulis Al Kitab dengan tangan mereka sendiri lalu dikatakannya: Ini dari Allah (dengan maksud) untuk memperoleh keuntungan yang sedikit dengan perbuatan itu. Maka kecelakaan besarlah bagi mereka akibat dari apa yang ditulis oleh tangan mereka sendiri dan kecelakaan besarlah bagi mereka akibat dari apa yang mereka kerjakan.,kecelakaan besarlah orangorang menulis al kitab tangan allah maksud memperoleh keuntungan perbuatan kecelakaan besarlah akibat ditulis tangan kecelakaan besarlah akibat kerjakan
[2.80],Dan mereka berkata: Kami sekali-kali tidak akan disentuh oleh api neraka kecuali selama beberapa hari saja. Katakanlah: Sudahkah kamu menerima janji dari Allah sehingga Allah tidak akan memungkiri janji-Nya ataukah kamu hanya mengatakan terhadap Allah apa yang tidak kamu ketahui?.,sekalikali disentuh api neraka kecuali menerima janji allah allah memungkiri janjinya allah ketahui
[2.81],(Bukan demikian) yang benar barang siapa berbuat dosa dan ia telah diliputi oleh dosanya mereka itulah penghuni neraka mereka kekal di dalamnya.,barang berbuat dosa diliputi dosanya penghuni neraka kekal dalamnya
[2.82],Dan orang-orang yang beriman serta beramal saleh mereka itu penghuni surga mereka kekal di dalamnya.,orangorang beriman beramal saleh penghuni surga kekal dalamnya
[2.83],Dan (ingatlah) ketika Kami mengambil janji dari Bani Israel (yaitu): Janganlah kamu menyembah selain Allah dan berbuat baiklah kepada ibu bapak kaum kerabat anak-anak yatim dan orang-orang miskin serta ucapkanlah kata-kata yang baik kepada manusia dirikanlah salat dan tunaikanlah zakat. Kemudian kamu tidak memenuhi janji itu kecuali sebahagian kecil daripada kamu dan kamu selalu berpaling.,ingatlah mengambil janji bani israel menyembah allah berbuat baiklah kaum kerabat anakanak yatim orangorang miskin ucapkanlah katakata manusia dirikanlah salat tunaikanlah zakat memenuhi janji kecuali sebahagian berpaling
